2DEigenValue,3DEigenValue,Average,VarianceExplained,,,,,,
4.05E-18,4.07E-18,4.06002E-18,1.88084E-17,,,,,,
4.05E-18,4.07E-18,4.06002E-18,1.88084E-17,,,,,,
3.73E-18,3.79E-18,3.76044E-18,1.74206E-17,,,,,,
3.73E-18,3.79E-18,3.76044E-18,1.74206E-17,,,,,,
3.73E-18,3.74E-18,3.73364E-18,1.72964E-17,,,,,,
3.61E-18,3.67E-18,3.64308E-18,1.68769E-17,,,,,,
3.61E-18,3.74E-18,3.67628E-18,1.70307E-17,,,,,,
3.44E-18,3.52E-18,3.48182E-18,1.61298E-17,,,,,,
3.44E-18,3.52E-18,3.48182E-18,1.61298E-17,,,,,,
3.41E-18,3.27E-18,3.33713E-18,1.54595E-17,,,,,,
3.41E-18,3.27E-18,3.33713E-18,1.54595E-17,,,,,,
3.16E-18,2.82E-18,2.99294E-18,1.38651E-17,,,,,,
3.16E-18,2.86E-18,3.01074E-18,1.39475E-17,,,,,,
2.97E-18,2.77E-18,2.87451E-18,1.33164E-17,,,,,,
2.97E-18,2.82E-18,2.89905E-18,1.34301E-17,,,,,,
2.89E-18,2.77E-18,2.83406E-18,1.31291E-17,,,,,,
2.27E-18,2.69E-18,2.47982E-18,1.1488E-17,,,,,,
2.27E-18,2.69E-18,2.47982E-18,1.1488E-17,,,,,,
2.24E-18,2.40E-18,2.32164E-18,1.07552E-17,,,,,,
2.24E-18,2.53E-18,2.3846E-18,1.10469E-17,,,,,,
2.04E-18,2.24E-18,2.14227E-18,9.92425E-18,,,,,,
2.04E-18,2.40E-18,2.22189E-18,1.02931E-17,,,,,,
2.04E-18,1.92E-18,1.97849E-18,9.16551E-18,,,,,,
2.04E-18,2.24E-18,2.14003E-18,9.91389E-18,,,,,,
1.94E-18,1.73E-18,1.83469E-18,8.49936E-18,,,,,,
1.94E-18,1.92E-18,1.92843E-18,8.93363E-18,,,,,,
1.71E-18,1.50E-18,1.60803E-18,7.44937E-18,,,,,,
1.71E-18,1.73E-18,1.72255E-18,7.97985E-18,,,,,,
1.71E-18,1.29E-18,1.50212E-18,6.9587E-18,,,,,,
1.71E-18,1.50E-18,1.60747E-18,7.44673E-18,,,,,,
1.33E-18,1.08E-18,1.2058E-18,5.58597E-18,,,,,,
1.33E-18,1.29E-18,1.30885E-18,6.06336E-18,,,,,,
1.03E-18,1.05E-18,1.04049E-18,4.82016E-18,,,,,,
1.03E-18,1.08E-18,1.05648E-18,4.89423E-18,,,,,,
9.59E-19,1.05E-18,1.00608E-18,4.66075E-18,,,,,,
5.52E-19,8.91E-19,7.2187E-19,3.34413E-18,,,,,,
1.42E-19,2.26E-19,1.84041E-19,8.52586E-19,,,,,,
